field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Solarworld,SW PL 124 Mono Laminate - 124Wp,Module,1605 x 805 x 13.5,Germany,Yes,0,7,15/12/2024 09:16:48,SecondSol,https://www.secondsol.com/de/anzeige/19449,372.00,7
Solarworld,SW 125 Mono ST - 125Wp,Module,1612 x 809 x 15,Germany,Yes,0,4,15/12/2024 09:16:48,SecondSol,https://www.secondsol.com/de/anzeige/19454,410.00,4
Solarworld,SW 51 poly - 51Wp,Module,0 x 0 x 0,Germany,Yes,0,3,15/12/2024 09:16:49,SecondSol,https://www.secondsol.com/de/anzeige/19457,0,3
Solarworld,SW 77 poly,Module,848 x 813 x 7.6,Germany,Yes,0,1,15/12/2024 09:16:50,SecondSol,https://www.secondsol.com/de/anzeige/19458,231.00,1
Solarworld,SW 80 Poly Laminate - 80Wp,Module,0 x 0 x 0,Germany,Yes,0,5,15/12/2024 09:16:50,SecondSol,https://www.secondsol.com/de/anzeige/19459,274.00,5
Solarworld,SW 80 poly -80Wp,Module,0 x 0 x 0,Germany,Yes,0,1,15/12/2024 09:16:51,SecondSol,https://www.secondsol.com/de/anzeige/19460,304.00,1
Solarworld,SW 83 Poly Laminate - 83Wp,Module,0 x 0 x 0,Germany,Yes,0,4,15/12/2024 09:16:52,SecondSol,https://www.secondsol.com/de/anzeige/19461,0,4
Solarworld,SW 90 poly - 90Wp,Module,0 x 0 x 0,Germany,Yes,0,2,15/12/2024 09:16:52,SecondSol,https://www.secondsol.com/de/anzeige/19462,327.00,2
Solarworld,SW 124 poly Laminat - 124Wp,Module,1225 x 805 x 12,Germany,Yes,0,13,15/12/2024 09:16:53,SecondSol,https://www.secondsol.com/de/anzeige/19463,0,13
Solarworld,SW 125 poly ST,Module,1612 x 809 x 15,Germany,Yes,0,2,15/12/2024 09:16:53,SecondSol,https://www.secondsol.com/de/anzeige/19464,390.00,2
Solarworld,SW 135 poly - 135Wp,Module,1605 x 808 x 15,Germany,Yes,0,14,15/12/2024 09:16:54,SecondSol,https://www.secondsol.com/de/anzeige/19465,405.00,14
Solarworld,SW Plus 300 mono WOB 5BB 300Wp,Module,1675 x 1001 x 18,Germany,Yes,0,10,15/12/2024 09:16:54,SecondSol,https://www.secondsol.com/de/anzeige/19468,600.00,10
Solarworld,SW PL 280 mono - 280Wp,Module,1675 x 1001 x 18,Germany,Yes,0,10,15/12/2024 09:16:55,SecondSol,https://www.secondsol.com/de/anzeige/19469,885.00,10
Solarworld,SW PL 280 mono 5BB,Module,1675 x 1001 x 18,Germany,Yes,0,1,15/12/2024 09:16:56,SecondSol,https://www.secondsol.com/de/anzeige/19470,840.00,1
Solarworld,SW PL 285 mono - 285Wp,Module,1675 x 1001 x 18,Germany,Yes,0,3,15/12/2024 09:16:56,SecondSol,https://www.secondsol.com/de/anzeige/19474,855.00,3
Solarworld,SW Plus 250 poly WOB,Module,1675 x 1001 x 18,Germany,Yes,0,1,15/12/2024 09:16:57,SecondSol,https://www.secondsol.com/de/anzeige/19475,750.00,1
Solarworld,SW Plus 260 poly WOB,Module,1675 x 1001 x 18,Germany,Yes,0,4,15/12/2024 09:16:58,SecondSol,https://www.secondsol.com/de/anzeige/19477,780.00,4
Solarworld,SW Plus 250 Mono Black,Module,1675 x 1001 x 18,Germany,Yes,0,4,15/12/2024 09:16:58,SecondSol,https://www.secondsol.com/de/anzeige/19478,880.00,4
REC,REC 265PE Peak Energy - 265Wp,Module,1665 x 991 x 18,Germany,Yes,0,17,15/12/2024 09:16:59,SecondSol,https://www.secondsol.com/de/anzeige/19504,0,17
Conergy,PowerPlus 250P,Module,1651 x 986 x 18.7,Germany,Yes,0,6,15/12/2024 09:17:00,SecondSol,https://www.secondsol.com/de/anzeige/19527,465.00,6
CSG Solar,CSG240M2 - 240Wp,Module,1640 x 992 x 19.6,Germany,Yes,0,2,15/12/2024 09:17:00,SecondSol,https://www.secondsol.com/de/anzeige/19547,480.00,2
BP Solar,BP 3230N,Module,1667 x 1000 x 19.4,Germany,Yes,0,20,15/12/2024 09:17:05,SecondSol,https://www.secondsol.com/de/anzeige/19581,575.00,20
IBC Solar,IBC-160P,Module,1318 x 994 x 16,Germany,Yes,0,1,15/12/2024 09:17:05,SecondSol,https://www.secondsol.com/de/anzeige/19594,352.00,1
Topsolar,TSM-160M (175 Wp),Module,1580 x 808 x 17,Germany,Yes,0,1,15/12/2024 09:17:06,SecondSol,https://www.secondsol.com/de/anzeige/19604,315.00,1
Risen Solar,SYP185S-M,Module,1580 x 808 x 15,Germany,Yes,0,1,15/12/2024 09:17:07,SecondSol,https://www.secondsol.com/de/anzeige/19606,333.00,1
Scheuten Solar,MultiSol 175,Module,1500 x 1000 x 0,Germany,Yes,0,7,15/12/2024 09:17:07,SecondSol,https://www.secondsol.com/de/anzeige/19614,385.00,7
CSG Solar,CSG245M2 - 245 Wp,Module,1640 x 992 x 19.6,Germany,Yes,0,9,15/12/2024 09:17:08,SecondSol,https://www.secondsol.com/de/anzeige/19619,505.00,9
Sun Earth,TDB125X125-72-P 180Wp,Module,1580 x 808 x 16,Germany,Yes,0,4,15/12/2024 09:17:08,SecondSol,https://www.secondsol.com/de/anzeige/19656,339.00,4
Schott Solar,ASI-F 10/12,Module,581 x 330 x 2.1,Germany,Yes,0,20,15/12/2024 09:17:09,SecondSol,https://www.secondsol.com/de/anzeige/19705,290.00,20
Trina Solar,Honey TSM-275 PD05A 275Wp,Module,1650 x 992 x 18.6,Germany,Yes,0,8,15/12/2024 09:17:09,SecondSol,https://www.secondsol.com/de/anzeige/19710,0,8
Evergreen Solar,ES-180-RL,Module,0 x 0 x 0,Germany,Yes,0,31,15/12/2024 09:17:10,SecondSol,https://www.secondsol.com/de/anzeige/19781,385.00,31
NexPower,NH-100AX-1 - 95Wp,Module,1414 x 1114 x 20.5,Germany,Yes,0,10,15/12/2024 09:17:11,SecondSol,https://www.secondsol.com/de/anzeige/19786,190.00,10
Canadian Solar,CS6P-220P - 220Wp,Module,1638 x 982 x 20,Germany,Yes,0,29,15/12/2024 09:17:11,SecondSol,https://www.secondsol.com/de/anzeige/19833,330.00,29
Sharp,ND-AK270,Module,1640 x 992 x 18.1,Germany,Yes,0,58,15/12/2024 09:17:12,SecondSol,https://www.secondsol.com/de/anzeige/19847,570.00,58
LONGI Solar,LR6-60PE-315M Hi-MO1 315Wp,Module,1650 x 991 x 18.2,Germany,Yes,0,5,15/12/2024 09:17:12,SecondSol,https://www.secondsol.com/de/anzeige/24393,630.00,5
LG,NeON R LG370Q1C-A5,Module,1700 x 1016 x 18.5,Germany,Yes,0,5,15/12/2024 09:17:13,SecondSol,https://www.secondsol.com/de/anzeige/23881,740.00,5
Roto,SRP Rx 10/20 285Wp,Module,2028 x 1047 x 26,Germany,Yes,0,7,15/12/2024 09:17:14,SecondSol,https://www.secondsol.com/de/anzeige/21037,1.442.00,7
S-Energy,SN300M-10 300Wp,Module,1650 x 990 x 17,Germany,Yes,0,1,15/12/2024 09:17:14,SecondSol,https://www.secondsol.com/de/anzeige/23892,600.00,1
